"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"UPJ1E680MED1TD","Nichicon","493-5039-1-ND","","","Cut Tape (CT)","Active","1","0.31000","$0.31","4990","18 Weeks","CAP ALUM 68UF 20% 25V RADIAL","RoHS Compliant","Lead free","REACH Unaffected"
"RDE5C1H562J1K1H03B","Murata Electronics North America","490-8704-ND","","","Bulk","Active","4","0.49000","$1.96","1129","11 Weeks","CAP CER 5600PF 50V NP0 RADIAL","RoHS Compliant","Lead free","REACH Unaffected"
"AIUR-16-330K","Abracon LLC","AIUR-16-330K-ND","","","Box","Active","3","0.78000","$2.34","868","11 Weeks","FIXED IND 33UH 800MA 90 MOHM TH","RoHS Compliant","Lead free","REACH Unaffected"
"16ZLH680MEFC10X12.5","Rubycon","1189-1150-ND","","","Bulk","Active","1","0.43000","$0.43","6103","17 Weeks","CAP ALUM 680UF 20% 16V RADIAL","RoHS Compliant","Lead free","REACH Unaffected"
"0670688011","Molex, LLC","WM12785-ND","","","Tube","Active","1","2.06000","$2.06","1590","12 Weeks","USB B CONN WITH KINK BOARD LOCK","RoHS Compliant","Lead free","REACH Unaffected"
"1825115-1","TE Connectivity ALCOSWITCH Switches","450-1598-ND","","","Bulk","Active","2","0.98000","$1.96","3119","4 Weeks","SWITCH SLIDE SPDT 250MA 125V","RoHS Compliant","Lead free","Not Available"
"2041021-4","TE Connectivity AMP Connectors","A101492CT-ND","","","Cut Tape (CT)","Active","1","3.44000","$3.44","2777","11 Weeks","CONN SD CARD PUSH-PULL R/A SMD","RoHS Compliant","Lead free","Not Available"
"PJ-002A","CUI Inc.","CP-002A-ND","","","Bag","Active","1","0.60000","$0.60","113742","Not Available","CONN PWR JACK 2X5.5MM SOLDER","RoHS Compliant","Lead free","Not Available"
"TL062CP","Texas Instruments","296-1771-5-ND","","","Tube","Active","1","0.69000","$0.69","3889","13 Weeks","IC OPAMP JFET 1MHZ 8DIP","RoHS Compliant","Lead free","REACH Unaffected"
"K104Z15Y5VF5TL2","Vishay BC Components","BC1160CT-ND","","","Cut Tape (CT)","Active","8","0.19000","$1.52","78547","8 Weeks","CAP CER 0.1UF 50V Y5V RADIAL","RoHS Compliant","Lead free","Not Available"
"K103K15X7RF5TL2","Vishay BC Components","BC1078CT-ND","","","Cut Tape (CT)","Active","2","0.19000","$0.38","9972","8 Weeks","CAP CER 10000PF 50V X7R RADIAL","RoHS Compliant","Lead free","Not Available"
"UMA1C100MDD1TP","Nichicon","493-10458-1-ND","","","Cut Tape (CT)","Active","1","0.28000","$0.28","7221","21 Weeks","CAP ALUM 10UF 20% 16V RADIAL","RoHS Compliant","Lead free","REACH Unaffected"
"K220J15C0GF5TL2","Vishay BC Components","BC1005CT-ND","","","Cut Tape (CT)","Active","2","0.21000","$0.42","93566","8 Weeks","CAP CER 22PF 50V C0G/NP0 RADIAL","RoHS Compliant","Lead free","Not Available"
"UVY1C221MED1TD","Nichicon","493-12895-1-ND","","","Cut Tape (CT)","Active","1","0.31000","$0.31","4437","18 Weeks","CAP ALUM 220UF 20% 16V RADIAL","RoHS Compliant","Lead free","REACH Unaffected"
"FG28X7R1E105KRT06","TDK Corporation","445-173583-1-ND","","","Cut Tape (CT)","Active","3","0.32000","$0.96","4648","16 Weeks","CAP CER 1UF 25V X7R RADIAL","RoHS Compliant","Lead free","REACH Unaffected"
"ECA-1CM101","Panasonic Electronic Components","P5138-ND","","","Bulk","Active","1","0.22000","$0.22","5184","15 Weeks","CAP ALUM 100UF 20% 16V RADIAL","RoHS Compliant","Lead free","REACH Unaffected"
"FA28C0G2E221JNU06","TDK Corporation","445-174276-1-ND","","","Cut Tape (CT)","Active","1","0.50000","$0.50","5597","16 Weeks","CAP CER 220PF 250V NP0 RADIAL","RoHS Compliant","Lead free","REACH Unaffected"
"FG24X7R1A106KRT06","TDK Corporation","445-173370-1-ND","","","Cut Tape (CT)","Active","2","0.58000","$1.16","1831","16 Weeks","CAP CER 10UF 10V X7R RADIAL","RoHS Compliant","Lead free","REACH Unaffected"
"UMF1V010MDD1TP","Nichicon","493-10230-1-ND","","","Cut Tape (CT)","Active","4","0.45000","$1.80","2110","21 Weeks","CAP ALUM 1UF 20% 35V RADIAL","RoHS Compliant","Lead free","REACH Unaffected"
"FG24X7R1H224KNT06","TDK Corporation","445-173377-1-ND","","","Cut Tape (CT)","Active","2","0.29000","$0.58","4783","16 Weeks","CAP CER 0.22UF 50V X7R RADIAL","RoHS Compliant","Lead free","REACH Unaffected"
"FA28X7R1H683KNU06","TDK Corporation","445-175032-1-ND","","","Cut Tape (CT)","Active","2","0.41000","$0.82","3940","16 Weeks","CAP CER 0.068UF 50V X7R RADIAL","RoHS Compliant","Lead free","REACH Unaffected"
"CDBA140-G","Comchip Technology","641-1015-1-ND","","","Cut Tape (CT)","Active","1","0.37000","$0.37","339890","16 Weeks","DIODE SCHOTTKY 40V 1A DO214AC","RoHS Compliant","Lead free","REACH Unaffected"
"RNF14FTD10K0","Stackpole Electronics Inc.","RNF14FTD10K0CT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","182883","13 Weeks","RES 10K OHM 1/4W 1% AXIAL","RoHS Compliant","Lead free","REACH Unaffected"
"CF14JT4K70","Stackpole Electronics Inc.","CF14JT4K70CT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","299143","14 Weeks","RES 4.7K OHM 1/4W 5% AXIAL","RoHS Compliant","Lead free","REACH Unaffected"
"CF14JT47K0","Stackpole Electronics Inc.","CF14JT47K0CT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","186504","14 Weeks","RES 47K OHM 1/4W 5% AXIAL","RoHS Compliant","Lead free","REACH Unaffected"
"CF14JT2K20","Stackpole Electronics Inc.","CF14JT2K20CT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","144923","14 Weeks","RES 2.2K OHM 1/4W 5% AXIAL","RoHS Compliant","Lead free","REACH Unaffected"
"CF14JT51K0","Stackpole Electronics Inc.","CF14JT51K0CT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","19213","14 Weeks","RES 51K OHM 1/4W 5% AXIAL","RoHS Compliant","Lead free","REACH Unaffected"
"CF14JT33K0","Stackpole Electronics Inc.","CF14JT33K0CT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","185584","14 Weeks","RES 33K OHM 1/4W 5% AXIAL","RoHS Compliant","Lead free","REACH Unaffected"
"B3F-1060","Omron Electronics Inc-EMC Div","SW1177-ND","","","Bulk","Active","4","0.34000","$1.36","2711","11 Weeks","SWITCH TACTILE SPST-NO 0.05A 24V","RoHS Compliant","Lead free","Not Available"
"A 24-LC-TT","Assmann WSW Components","AE10001-ND","","","Tube","Active","1","0.35000","$0.35","6647","20 Weeks","CONN IC DIP SOCKET 24POS TIN","RoHS Compliant","Lead free","REACH Unaffected"
"A 16-LC-TT","Assmann WSW Components","AE9992-ND","","","Tube","Active","1","0.25000","$0.25","38380","20 Weeks","CONN IC DIP SOCKET 16POS TIN","RoHS Compliant","Lead free","REACH Unaffected"
"A 08-LC-TT","Assmann WSW Components","AE9986-ND","","","Tube","Active","2","0.18000","$0.36","87482","20 Weeks","CONN IC DIP SOCKET 8POS TIN","RoHS Compliant","Lead free","REACH Unaffected"
"A 20-LC-TT","Assmann WSW Components","AE9998-ND","","","Tube","Active","1","0.29000","$0.29","44887","20 Weeks","CONN IC DIP SOCKET 20POS TIN","RoHS Compliant","Lead free","REACH Unaffected"
"LTC6904CMS8#PBF","Linear Technology/Analog Devices","LTC6904CMS8#PBF-ND","","","Tube","Active","2","4.31000","$8.62","1595","8 Weeks","IC OSC SILICON PROG 8-MSOP","RoHS Compliant","Lead free","REACH Unaffected"
"23LC1024-I/P","Microchip Technology","23LC1024-I/P-ND","","","Tube","Active","1","2.22000","$2.22","297","5 Weeks","IC SRAM 1MBIT 20MHZ 8DIP","RoHS Compliant","Lead free","REACH Unaffected"
"TPA3122D2N","Texas Instruments","296-23375-5-ND","","","Tube","Active","1","3.31000","$3.31","421","6 Weeks","IC AMP AUDIO PWR 15W STER 20DIP","RoHS Compliant","Lead free","REACH Unaffected"
"LD1117S33TR","STMicroelectronics","497-1242-1-ND","","","Cut Tape (CT)","Active","1","0.42000","$0.42","0","Not Available","IC REG LINEAR 3.3V 800MA SOT223","RoHS Compliant","Lead free","Not Available"
"LM2596S-5.0/NOPB","Texas Instruments","LM2596S-5.0/NOPB-ND","","","Tube","Active","1","5.72000","$5.72","0","30 Weeks","IC REG BUCK 5V 3A TO263-5","RoHS Compliant","Contains lead","REACH Unaffected"
"ECS-120-20-4","ECS Inc.","X227-ND","","","Bulk","Active","1","0.69000","$0.69","1635","9 Weeks","CRYSTAL 12.0000MHZ 20PF T/H","RoHS non-compliant","Contains lead","REACH Unaffected"
"UHV1C102MPD6","Nichicon","493-16434-ND","","","Bulk","Active","3","0.65000","$1.95","677","20 Weeks","CAP ALUM 1000UF 20% 16V RADIAL","RoHS Compliant","Lead free","REACH Unaffected"
"RLB1014-222KL","Bourns Inc.","RLB1014-222KL-ND","","","Bag","Active","2","0.43000","$0.86","1019","20 Weeks","FIXED IND 2.2MH 110MA 8.4 OHM TH","RoHS Compliant","Lead free","REACH Unaffected"